affil,Article_sum,document_count,openaccess_sum,coauthor_count,first_author_sum,last_author_sum,citation_count,cited_by_count,h_index,growth_rate,mean_citations_per_year,mean_citations_per_doc,SJR_mean,journal_h_index_mean,author_count_mean,author_weight_mean,author_position_mean
WCHRI,27,46,2,76,11,10,287,170,9,18.3333333333333,26.0909090909091,6.28260869565217,0.526057142857143,41.6,4.60869565217391,0.785030869384843,1.8695652173913
WCHRI,97,168,22,239,11,79,1038,800,18,67.75,61.0588235294118,6.17857142857143,0.620787878787878,69.2121212121212,5.11309523809524,0.788131235779774,3.10714285714286
WCHRI,51,65,20,66,16,24,1702,1361,23,19.2727272727273,58.6896551724138,26.1846153846154,2.06371666666667,200.233333333333,4.72307692307692,0.766865142514233,2.38461538461538
WCHRI,116,171,56,701,17,46,7066,5488,48,245.083333333333,207.823529411765,41.3625730994152,2.10586451612903,159.754838709677,13.046783625731,0.526264105350503,8.67836257309942
WCHRI,13,15,5,120,1,1,87,87,4,12.25,7.90909090909091,5.8,2.04806666666667,122.4,11,0.407763891055423,3.13333333333333
WCHRI,55,87,39,375,25,24,2741,2401,28,120.75,171.3125,31.5747126436782,1.69237837837838,184.486486486487,7.87356321839081,0.69093204629456,3.79310344827586
WCHRI,84,128,57,438,22,38,1643,1273,24,114.75,91.2777777777778,12.875,1.12745794392523,114.672897196262,9.640625,0.620555726455851,4.1875
WCHRI,2,2,2,11,1,0,0,0,0,2.5,0,0,3.2685,145.5,7,0.773755793640534,0.5
WCHRI,33,37,10,237,3,5,766,705,12,63.9166666666667,51.0666666666667,20.8378378378378,1.38055555555556,133.916666666667,11.1081081081081,0.376406461623088,4.56756756756757
WCHRI,53,76,27,137,18,40,1494,1238,21,15.9166666666667,51.5172413793103,19.6578947368421,2.19379411764706,171.779411764706,4.82894736842105,0.844158352187848,2.61842105263158
WCHRI,33,40,21,1467,0,21,406,380,11,1,101.5,10.2,2.0712972972973,144.45945945946,27.5,0.627249241035237,11.7894736842105
WCHRI,50,55,22,283,13,12,1204,1049,15,79.9166666666667,80.2666666666667,22,1.8782641509434,137.849056603774,9.76363636363636,0.608764790258907,3.29090909090909
WCHRI,9,9,2,47,7,0,83,83,6,9.63636363636364,9.22222222222222,9.22222222222222,1.09322222222222,116.222222222222,7.22222222222222,0.845941620666343,0.777777777777778
WCHRI,95,139,58,1294,17,17,5203,4018,34,344.833333333333,200.115384615385,37.9420289855072,1.89566153846154,182.192307692308,22.4275362318841,0.405138977037865,5.8695652173913
WCHRI,246,448,171,3591,112,132,24365,16197,79,1132.66666666667,1218.25,54.5111607142857,2.29373796791444,159.4064171123,9.82589285714286,0.697793411337556,3.78699551569507
WCHRI,3,3,0,37,0,0,68,68,3,10.375,17,22.6666666666667,4.58033333333333,195.333333333333,14,0.247982780679701,2.66666666666667
WCHRI,103,160,44,416,24,65,4595,3797,30,176.833333333333,208.863636363636,28.7875,1.37072519083969,124.740458015267,7.19375,0.750983963997131,3.5875
WCHRI,98,129,25,269,32,45,6813,4725,42,71.3333333333333,184.135135135135,52.8682170542636,1.78308849557522,215.185840707965,5.24031007751938,0.820020684011683,3
WCHRI,236,346,109,903,57,141,27439,14392,73,966.75,722.078947368421,79.5809248554913,2.3316463022508,172.028938906752,6.51445086705202,0.71034261914201,3.44219653179191
WCHRI,50,67,25,197,12,29,1278,999,23,99.75,106.5,19.134328358209,1.38503125,144.03125,6.40298507462687,0.768002007529112,3.11940298507463
WCHRI,3,3,2,12,1,0,15,15,2,3.71428571428571,7.5,5,0.898,82.3333333333333,6.33333333333333,0.570192891032956,1.66666666666667
WCHRI,151,168,56,368,15,81,15441,11477,49,196.916666666667,571.888888888889,91.4674556213018,1.95553416149068,194.186335403727,5.74556213017751,0.752067585679791,3.21301775147929
WCHRI,113,129,46,490,16,36,3115,2809,27,98,81.9736842105263,24.2325581395349,1.36382258064516,137.362903225806,9.33333333333333,0.604293524277969,3.46511627906977
WCHRI,24,26,17,92,10,5,962,719,19,18.8333333333333,38.48,37.0384615384615,2.493125,278.375,5.84615384615385,0.69895194362374,2.34615384615385
WCHRI,21,37,22,233,11,2,1745,1523,21,68.1666666666667,72.7083333333333,47.2162162162162,4.36794444444444,285.972222222222,11.9189189189189,0.522200166179668,3.32432432432432
WCHRI,23,29,19,348,6,12,689,593,14,30.5,43.0625,23.7586206896552,2.93671428571429,181.178571428571,15.9310344827586,0.726221088436101,6.89285714285714
WCHRI,57,215,16,279,20,82,1930,1768,22,48.1666666666667,58.4848484848485,8.98139534883721,0.691868686868687,123.434343434343,4.26046511627907,0.806910432124661,2.18139534883721
WCHRI,31,42,27,127,12,10,660,567,15,38.3333333333333,38.8235294117647,15.8571428571429,1.78609756097561,196.268292682927,6.07142857142857,0.778614945329744,2.38095238095238
WCHRI,130,159,39,622,19,29,6488,5579,36,316.916666666667,202.75,40.7125,2.73802614379085,187.40522875817,9.98125,0.47801476275898,4.35625
WCHRI,14,27,9,83,4,4,433,415,11,17.8,22.7894736842105,16.037037037037,1.04552631578947,79.6315789473684,6.03703703703704,0.601997386231883,2.44444444444444
WCHRI,8,8,0,20,3,1,240,226,5,21.6666666666667,34.2857142857143,30.5,0.9785,98.875,4.625,0.827223355631184,1.625
WCHRI,26,34,5,94,6,5,253,204,10,18.1666666666667,23,7.55882352941176,1.25970967741935,118.903225806452,6.02941176470588,0.602251911308497,2.5
WCHRI,7,10,1,59,7,0,61,58,4,7,5.08333333333333,6.2,1.360625,128.75,9.1,0.811778244466474,1
